Ano/Mês,Entradas - Vendas (R$),Entradas - Outros (R$),Total Entradas (R$),Saídas - Salários (R$),Saídas - Despesas Operacionais (R$),Saídas - Investimentos (R$),Total Saídas (R$),Fluxo de Caixa Líquido (R$),Observações
2022/Jan,120000,30000,150000,80000,20000,10000,110000,40000,Vendas de camisas
2022/Fev,110000,25000,135000,80000,21000,9500,110500,24500,Carnaval
2022/Mar,115000,28000,143000,81000,20500,9800,113300,29700,Jogo internacional
2022/Abr,118000,29000,147000,82000,20000,9900,111900,35100,Final de campeonato
2022/Mai,122000,31000,153000,83000,19800,10200,113000,40000,Início de temporada
2022/Jun,120500,30500,151000,84000,19700,10100,113800,37200,Copa do Brasil
2022/Jul,121000,30800,151800,85000,19600,10000,114600,37200,Recesso escolar
2022/Ago,123000,31000,154000,86000,19500,9900,115400,38600,Contratação de jogador
2022/Set,124000,31200,155200,87000,19400,9800,116200,39000,Lesão de jogador importante
2022/Out,125000,31500,156500,88000,19300,9700,117000,39500,Playoffs
2022/Nov,126000,31800,157800,89000,19200,9600,117800,40000,Final da Copa do Brasil
2022/Dez,127000,32000,159000,90000,19100,9500,118600,40400,Férias dos jogadores
2023/Jan,128000,32200,160200,91000,19000,9400,119400,40800,Pré-temporada
2023/Fev,129000,32400,161400,92000,18900,9300,120200,41200,Carnaval
2023/Mar,130000,32600,162600,93000,18800,9200,121000,41600,Jogo amistoso
2023/Abr,131000,32800,163800,94000,18700,9100,121800,42000,Final de campeonato
2023/Mai,132000,33000,165000,95000,18600,9000,122600,42400,Início de temporada
2023/Jun,133000,33200,166200,96000,18500,8900,123400,42800,Copa América
2023/Jul,134000,33400,167400,97000,18400,8800,124200,43200,Recesso escolar
2023/Ago,135000,33600,168600,98000,18300,8700,125000,43600,Contratação de técnico
2023/Set,136000,33800,169800,99000,18200,8600,125800,44000,Lesão de jogador importante
2023/Out,137000,34000,171000,100000,18100,8500,126600,44400,Playoffs
2023/Nov,138000,34200,172200,101000,18000,8400,127400,44800,Final da Copa Libertadores
2023/Dez,139000,34400,173400,102000,17900,8300,128200,45200,Férias dos jogadores
